Parent,Component,Qty_Per,UoM,Scrap_Pct
FG-MAG-70,SF-NCAKE-62,96.0,EA,0.5
FG-MAG-70,SF-TM-8,96.0,EA,0.5
FG-MAG-70,PK-WRAP-70,96.0,EA,1.5
FG-MAG-70,PK-CTN-96,1.0,EA,0.5
FG-MAG-280,SF-NCAKE-62,96.0,EA,0.5
FG-MAG-280,SF-TM-8,96.0,EA,0.5
FG-MAG-280,PK-WRAP-280,24.0,EA,1.5
FG-MAG-280,PK-CTN-24,1.0,EA,0.5
FG-OAT-72,SF-OCAKE-64,96.0,EA,0.5
FG-OAT-72,SF-TM-8,96.0,EA,0.5
FG-OAT-72,PK-WRAP-OAT,96.0,EA,1.5
FG-OAT-72,PK-CTN-96,1.0,EA,0.5
FG-KET-500,SF-TOM-PASTE,4.32,KG,1.0
FG-KET-500,RM-SUGAR,1.44,KG,0.5
FG-KET-500,PK-BOTTLE-500,24.0,EA,1.0
FG-KET-500,PK-LABEL-KET,24.0,EA,2.0
FG-KET-500,PK-CTN-24,1.0,EA,0.5
SF-NCAKE-62,RM-MAIDA,0.05,KG,2.0
SF-NCAKE-62,RM-PALMOIL,0.012,KG,1.5
SF-NCAKE-62,RM-SALT,0.001,KG,1.0
SF-OCAKE-64,RM-OATS,0.03,KG,2.0
SF-OCAKE-64,RM-MAIDA,0.025,KG,2.0
SF-OCAKE-64,RM-PALMOIL,0.01,KG,1.5
SF-OCAKE-64,RM-SALT,0.001,KG,1.0
SF-TM-8,SF-SPICE-BLEND,0.005,KG,1.0
SF-TM-8,RM-SALT,0.002,KG,1.0
SF-TM-8,RM-STARCH,0.001,KG,1.0
SF-TM-8,PK-SACHET,1.0,EA,2.0
SF-SPICE-BLEND,RM-CHILLI,0.3,KG,1.0
SF-SPICE-BLEND,RM-CORIANDER,0.45,KG,1.0
SF-SPICE-BLEND,RM-TURMERIC,0.15,KG,1.0
SF-SPICE-BLEND,RM-GARLIC-PWD,0.1,KG,1.0
SF-TOM-PASTE,RM-TOMATO,5.5,KG,3.0
SF-TOM-PASTE,RM-SALT,0.02,KG,1.0
