Order_ID,Customer_ID,Customer,Item,Period,Qty,Due_Date,Priority,Status
SO-1001,CUST-03,"Metro Cash and Carry, Bengaluru",FG-MAG-70,37,2000,2026-09-13,2,Confirmed
SO-1002,CUST-04,"Spencers Retail, East Zone",FG-MAG-70,37,1245,2026-09-13,2,Confirmed
SO-1003,CUST-05,"Shree Ganesh Distributors, Mumbai",FG-MAG-70,37,448,2026-09-13,3,Confirmed
SO-1004,CUST-01,"Reliance Retail, Western Zone",FG-MAG-70,37,1000,2026-09-13,1,Confirmed
SO-1005,CUST-01,"Reliance Retail, Western Zone",FG-MAG-280,37,866,2026-09-13,1,Confirmed
SO-1006,CUST-04,"Spencers Retail, East Zone",FG-MAG-280,37,481,2026-09-13,2,Confirmed
SO-1007,CUST-02,"Avenue Supermarts (DMart), Maharashtra",FG-OAT-72,37,200,2026-09-13,1,Confirmed
SO-1008,CUST-05,"Shree Ganesh Distributors, Mumbai",FG-OAT-72,37,415,2026-09-13,3,Confirmed
SO-1009,CUST-03,"Metro Cash and Carry, Bengaluru",FG-KET-500,37,869,2026-09-13,2,Confirmed
SO-1010,CUST-01,"Reliance Retail, Western Zone",FG-KET-500,37,103,2026-09-13,1,Confirmed
SO-1011,CUST-05,"Shree Ganesh Distributors, Mumbai",FG-MAG-70,38,2076,2026-09-20,3,Confirmed
SO-1012,CUST-04,"Spencers Retail, East Zone",FG-MAG-70,38,403,2026-09-20,2,Confirmed
SO-1013,CUST-02,"Avenue Supermarts (DMart), Maharashtra",FG-MAG-70,38,1519,2026-09-20,1,Confirmed
SO-1014,CUST-03,"Metro Cash and Carry, Bengaluru",FG-MAG-280,38,1144,2026-09-20,2,Confirmed
SO-1015,CUST-02,"Avenue Supermarts (DMart), Maharashtra",FG-MAG-280,38,103,2026-09-20,1,Confirmed
SO-1016,CUST-01,"Reliance Retail, Western Zone",FG-OAT-72,38,273,2026-09-20,1,Confirmed
SO-1017,CUST-04,"Spencers Retail, East Zone",FG-OAT-72,38,41,2026-09-20,2,Confirmed
SO-1018,CUST-05,"Shree Ganesh Distributors, Mumbai",FG-OAT-72,38,157,2026-09-20,3,Confirmed
SO-1019,CUST-04,"Spencers Retail, East Zone",FG-KET-500,38,60,2026-09-20,2,Confirmed
SO-1020,CUST-03,"Metro Cash and Carry, Bengaluru",FG-KET-500,38,167,2026-09-20,2,Confirmed
SO-1021,CUST-01,"Reliance Retail, Western Zone",FG-KET-500,38,132,2026-09-20,1,Confirmed
SO-1022,CUST-02,"Avenue Supermarts (DMart), Maharashtra",FG-KET-500,38,395,2026-09-20,1,Confirmed
SO-1023,CUST-04,"Spencers Retail, East Zone",FG-MAG-70,39,1164,2026-09-27,2,Confirmed
SO-1024,CUST-03,"Metro Cash and Carry, Bengaluru",FG-MAG-70,39,1936,2026-09-27,2,Confirmed
SO-1025,CUST-01,"Reliance Retail, Western Zone",FG-MAG-280,39,110,2026-09-27,1,Confirmed
SO-1026,CUST-04,"Spencers Retail, East Zone",FG-MAG-280,39,343,2026-09-27,2,Confirmed
SO-1027,CUST-03,"Metro Cash and Carry, Bengaluru",FG-MAG-280,39,54,2026-09-27,2,Confirmed
SO-1028,CUST-02,"Avenue Supermarts (DMart), Maharashtra",FG-MAG-280,39,391,2026-09-27,1,Confirmed
SO-1029,CUST-02,"Avenue Supermarts (DMart), Maharashtra",FG-OAT-72,39,159,2026-09-27,1,Confirmed
