Item,Period,Period_Start,Demand
FG-MAG-70,1,2025-12-29,4294
FG-MAG-70,2,2026-01-05,3976
FG-MAG-70,3,2026-01-12,4442
FG-MAG-70,4,2026-01-19,4507
FG-MAG-70,5,2026-01-26,3802
FG-MAG-70,6,2026-02-02,3982
FG-MAG-70,7,2026-02-09,4358
FG-MAG-70,8,2026-02-16,4265
FG-MAG-70,9,2026-02-23,4358
FG-MAG-70,10,2026-03-02,4167
FG-MAG-70,11,2026-03-09,4618
FG-MAG-70,12,2026-03-16,4610
FG-MAG-70,13,2026-03-23,4451
FG-MAG-70,14,2026-03-30,4734
FG-MAG-70,15,2026-04-06,4587
FG-MAG-70,16,2026-04-13,4273
FG-MAG-70,17,2026-04-20,4598
FG-MAG-70,18,2026-04-27,4284
FG-MAG-70,19,2026-05-04,4762
FG-MAG-70,20,2026-05-11,4548
FG-MAG-70,21,2026-05-18,4532
FG-MAG-70,22,2026-05-25,4426
FG-MAG-70,23,2026-06-01,4920
FG-MAG-70,24,2026-06-08,4593
FG-MAG-70,25,2026-06-15,4543
FG-MAG-70,26,2026-06-22,4580
FG-MAG-70,27,2026-06-29,4819
FG-MAG-70,28,2026-07-06,4795
FG-MAG-70,29,2026-07-13,4825
FG-MAG-70,30,2026-07-20,4848
FG-MAG-70,31,2026-07-27,5293
FG-MAG-70,32,2026-08-03,4674
FG-MAG-70,33,2026-08-10,4666
FG-MAG-70,34,2026-08-17,4609
FG-MAG-70,35,2026-08-24,4984
FG-MAG-70,36,2026-08-31,5130
FG-MAG-280,1,2025-12-29,1268
FG-MAG-280,2,2026-01-05,1343
FG-MAG-280,3,2026-01-12,1550
FG-MAG-280,4,2026-01-19,1770
FG-MAG-280,5,2026-01-26,1682
FG-MAG-280,6,2026-02-02,1878
FG-MAG-280,7,2026-02-09,1846
FG-MAG-280,8,2026-02-16,1730
FG-MAG-280,9,2026-02-23,1615
FG-MAG-280,10,2026-03-02,1634
FG-MAG-280,11,2026-03-09,1219
FG-MAG-280,12,2026-03-16,1323
FG-MAG-280,13,2026-03-23,1016
FG-MAG-280,14,2026-03-30,1234
FG-MAG-280,15,2026-04-06,1431
FG-MAG-280,16,2026-04-13,1660
FG-MAG-280,17,2026-04-20,1857
FG-MAG-280,18,2026-04-27,2008
FG-MAG-280,19,2026-05-04,1953
FG-MAG-280,20,2026-05-11,1924
FG-MAG-280,21,2026-05-18,1972
FG-MAG-280,22,2026-05-25,1702
FG-MAG-280,23,2026-06-01,1407
FG-MAG-280,24,2026-06-08,1267
FG-MAG-280,25,2026-06-15,1194
FG-MAG-280,26,2026-06-22,1333
FG-MAG-280,27,2026-06-29,1365
FG-MAG-280,28,2026-07-06,1567
FG-MAG-280,29,2026-07-13,1627
FG-MAG-280,30,2026-07-20,1874
FG-MAG-280,31,2026-07-27,2068
FG-MAG-280,32,2026-08-03,2035
FG-MAG-280,33,2026-08-10,2104
FG-MAG-280,34,2026-08-17,1883
FG-MAG-280,35,2026-08-24,1761
FG-MAG-280,36,2026-08-31,1583
FG-OAT-72,1,2025-12-29,570
FG-OAT-72,2,2026-01-05,585
FG-OAT-72,3,2026-01-12,656
FG-OAT-72,4,2026-01-19,587
FG-OAT-72,5,2026-01-26,613
FG-OAT-72,6,2026-02-02,699
FG-OAT-72,7,2026-02-09,611
FG-OAT-72,8,2026-02-16,666
FG-OAT-72,9,2026-02-23,578
FG-OAT-72,10,2026-03-02,614
FG-OAT-72,11,2026-03-09,574
FG-OAT-72,12,2026-03-16,604
FG-OAT-72,13,2026-03-23,664
FG-OAT-72,14,2026-03-30,529
FG-OAT-72,15,2026-04-06,640
FG-OAT-72,16,2026-04-13,628
FG-OAT-72,17,2026-04-20,584
FG-OAT-72,18,2026-04-27,538
FG-OAT-72,19,2026-05-04,615
FG-OAT-72,20,2026-05-11,582
FG-OAT-72,21,2026-05-18,621
FG-OAT-72,22,2026-05-25,608
FG-OAT-72,23,2026-06-01,689
FG-OAT-72,24,2026-06-08,592
FG-OAT-72,25,2026-06-15,549
FG-OAT-72,26,2026-06-22,610
