Item,Description,Item_Type,UoM,On_Hand,Safety_Stock,Lead_Time_Periods,Lot_Size_Rule,Lot_Size,Unit_Cost,Ordering_Cost,Holding_Cost_Rate,Supplier,Shelf_Life_Weeks,Make_or_Buy
FG-MAG-70,Maggi 2-Minute Masala Noodles 70g (case of 96),FG,CASE,10150.0,5462.0,1,FOQ,1200,1180.0,6500,0.22,,36,Make
FG-MAG-280,Maggi Masala Noodles Family Pack 280g (case of 24),FG,CASE,2928.0,1956.0,1,FOQ,600,1140.0,6500,0.22,,36,Make
FG-OAT-72,Maggi Oats Masala Noodles 72g (case of 96),FG,CASE,1085.0,724.0,1,LFL,0,1560.0,6500,0.22,,30,Make
FG-KET-500,Maggi Rich Tomato Ketchup 500g (case of 24),FG,CASE,2487.0,1146.0,1,EOQ,0,1490.0,6500,0.22,,52,Make
SF-NCAKE-62,Fried noodle cake 62g,SF,EA,1363935.0,417478.0,1,LFL,0,4.9,6500,0.22,,12,Make
SF-OCAKE-64,Oats noodle cake 64g,SF,EA,102861.0,40745.0,1,LFL,0,7.1,6500,0.22,,12,Make
SF-TM-8,Tastemaker sachet 8g filled,SF,EA,1379173.0,458222.0,1,FOQ,250000,1.85,6500,0.22,,24,Make
SF-SPICE-BLEND,Masala spice blend,SF,KG,7564.83,2314.02,1,LFL,0,268.0,6500,0.22,,26,Make
SF-TOM-PASTE,Tomato paste 28 brix,SF,KG,5293.25,2917.73,1,LFL,0,96.0,6500,0.22,,20,Make
RM-MAIDA,Refined wheat flour (maida),RM,KG,106810.7,47850.75,2,EOQ,0,34.5,4500,0.22,SUP-AGRO-01,20,Buy
RM-OATS,Rolled oats,RM,KG,7460.91,2671.7,3,EOQ,0,78.0,4500,0.22,SUP-AGRO-02,24,Buy
RM-PALMOIL,Refined palm oil,RM,KG,29220.84,11782.36,3,FOQ,20000,112.0,4500,0.22,SUP-OIL-01,26,Buy
RM-SALT,Iodised salt,RM,KG,7557.93,3101.47,2,FOQ,15000,18.5,4500,0.22,SUP-AGRO-01,52,Buy
RM-STARCH,Maize starch,RM,KG,2204.13,991.72,2,LFL,0,46.0,4500,0.22,SUP-AGRO-02,40,Buy
RM-CHILLI,Red chilli powder,RM,KG,631.03,1502.46,4,EOQ,0,285.0,4500,0.22,SUP-SPICE-01,18,Buy
RM-CORIANDER,Coriander powder,RM,KG,6913.35,2253.69,4,EOQ,0,196.0,4500,0.22,SUP-SPICE-01,18,Buy
RM-TURMERIC,Turmeric powder,RM,KG,1938.87,751.23,3,LFL,0,245.0,4500,0.22,SUP-SPICE-02,18,Buy
RM-GARLIC-PWD,Dehydrated garlic powder,RM,KG,2041.41,500.82,4,LFL,0,412.0,4500,0.22,SUP-SPICE-02,16,Buy
RM-TOMATO,Fresh tomato grade A,RM,KG,52475.29,35419.19,1,LFL,0,16.5,4500,0.22,SUP-AGRO-03,2,Buy
RM-SUGAR,Refined sugar,RM,KG,9539.39,2073.78,2,FOQ,10000,44.0,4500,0.22,SUP-AGRO-03,40,Buy
PK-WRAP-70,Laminate wrapper 70g pack,PK,EA,1415664.0,665243.0,2,FOQ,300000,0.62,4500,0.22,SUP-PACK-01,78,Buy
PK-WRAP-280,Laminate wrapper 280g family pack,PK,EA,32759.0,59563.0,2,FOQ,100000,1.35,4500,0.22,SUP-PACK-01,78,Buy
PK-WRAP-OAT,Laminate wrapper oats 72g pack,PK,EA,204954.0,88179.0,2,FOQ,120000,0.74,4500,0.22,SUP-PACK-02,78,Buy
PK-SACHET,Tastemaker sachet film,PK,EA,2265684.0,1001543.0,2,FOQ,400000,0.21,4500,0.22,SUP-PACK-02,78,Buy
PK-BOTTLE-500,PET bottle 500g with cap,PK,EA,86286.0,34735.0,3,FOQ,60000,6.4,4500,0.22,SUP-PACK-03,104,Buy
PK-LABEL-KET,Ketchup label sleeve,PK,EA,73517.0,35079.0,2,LFL,0,0.95,4500,0.22,SUP-PACK-03,104,Buy
PK-CTN-96,Shipper carton 96 pack,PK,EA,13582.0,7771.0,1,FOQ,8000,22.5,4500,0.22,SUP-PACK-01,104,Buy
PK-CTN-24,Shipper carton 24 pack,PK,EA,6545.0,3897.0,1,FOQ,6000,17.8,4500,0.22,SUP-PACK-01,104,Buy
