Item,Period,Period_Start,Forecast,Customer_Orders,MPS_Qty,Notes
FG-MAG-70,37,2026-09-07,,,,
FG-MAG-70,38,2026-09-14,,,,
FG-MAG-70,39,2026-09-21,,,,
FG-MAG-70,40,2026-09-28,,,,
FG-MAG-70,41,2026-10-05,,,,
FG-MAG-70,42,2026-10-12,,,,
FG-MAG-70,43,2026-10-19,,,,
FG-MAG-70,44,2026-10-26,,,,
FG-MAG-70,45,2026-11-02,,,,
FG-MAG-70,46,2026-11-09,,,,
FG-MAG-70,47,2026-11-16,,,,
FG-MAG-70,48,2026-11-23,,,,
FG-MAG-280,37,2026-09-07,,,,
FG-MAG-280,38,2026-09-14,,,,
FG-MAG-280,39,2026-09-21,,,,
FG-MAG-280,40,2026-09-28,,,,
FG-MAG-280,41,2026-10-05,,,,
FG-MAG-280,42,2026-10-12,,,,
FG-MAG-280,43,2026-10-19,,,,
FG-MAG-280,44,2026-10-26,,,,
FG-MAG-280,45,2026-11-02,,,,
FG-MAG-280,46,2026-11-09,,,,
FG-MAG-280,47,2026-11-16,,,,
FG-MAG-280,48,2026-11-23,,,,
FG-OAT-72,37,2026-09-07,,,,
FG-OAT-72,38,2026-09-14,,,,
FG-OAT-72,39,2026-09-21,,,,
FG-OAT-72,40,2026-09-28,,,,
FG-OAT-72,41,2026-10-05,,,,
FG-OAT-72,42,2026-10-12,,,,
FG-OAT-72,43,2026-10-19,,,,
FG-OAT-72,44,2026-10-26,,,,
FG-OAT-72,45,2026-11-02,,,,
FG-OAT-72,46,2026-11-09,,,,
FG-OAT-72,47,2026-11-16,,,,
FG-OAT-72,48,2026-11-23,,,,
FG-KET-500,37,2026-09-07,,,,
FG-KET-500,38,2026-09-14,,,,
FG-KET-500,39,2026-09-21,,,,
FG-KET-500,40,2026-09-28,,,,
FG-KET-500,41,2026-10-05,,,,
FG-KET-500,42,2026-10-12,,,,
FG-KET-500,43,2026-10-19,,,,
FG-KET-500,44,2026-10-26,,,,
FG-KET-500,45,2026-11-02,,,,
FG-KET-500,46,2026-11-09,,,,
FG-KET-500,47,2026-11-16,,,,
FG-KET-500,48,2026-11-23,,,,
