Period,Period_Start,Period_End,Bucket,Type
1,2025-12-29,2026-01-04,Week,History
2,2026-01-05,2026-01-11,Week,History
3,2026-01-12,2026-01-18,Week,History
4,2026-01-19,2026-01-25,Week,History
5,2026-01-26,2026-02-01,Week,History
6,2026-02-02,2026-02-08,Week,History
7,2026-02-09,2026-02-15,Week,History
8,2026-02-16,2026-02-22,Week,History
9,2026-02-23,2026-03-01,Week,History
10,2026-03-02,2026-03-08,Week,History
11,2026-03-09,2026-03-15,Week,History
12,2026-03-16,2026-03-22,Week,History
13,2026-03-23,2026-03-29,Week,History
14,2026-03-30,2026-04-05,Week,History
15,2026-04-06,2026-04-12,Week,History
16,2026-04-13,2026-04-19,Week,History
17,2026-04-20,2026-04-26,Week,History
18,2026-04-27,2026-05-03,Week,History
19,2026-05-04,2026-05-10,Week,History
20,2026-05-11,2026-05-17,Week,History
21,2026-05-18,2026-05-24,Week,History
22,2026-05-25,2026-05-31,Week,History
23,2026-06-01,2026-06-07,Week,History
24,2026-06-08,2026-06-14,Week,History
25,2026-06-15,2026-06-21,Week,History
26,2026-06-22,2026-06-28,Week,History
27,2026-06-29,2026-07-05,Week,History
28,2026-07-06,2026-07-12,Week,History
29,2026-07-13,2026-07-19,Week,History
30,2026-07-20,2026-07-26,Week,History
31,2026-07-27,2026-08-02,Week,History
32,2026-08-03,2026-08-09,Week,History
33,2026-08-10,2026-08-16,Week,History
34,2026-08-17,2026-08-23,Week,History
35,2026-08-24,2026-08-30,Week,History
36,2026-08-31,2026-09-06,Week,History
37,2026-09-07,2026-09-13,Week,Planning
38,2026-09-14,2026-09-20,Week,Planning
39,2026-09-21,2026-09-27,Week,Planning
40,2026-09-28,2026-10-04,Week,Planning
41,2026-10-05,2026-10-11,Week,Planning
42,2026-10-12,2026-10-18,Week,Planning
43,2026-10-19,2026-10-25,Week,Planning
44,2026-10-26,2026-11-01,Week,Planning
45,2026-11-02,2026-11-08,Week,Planning
46,2026-11-09,2026-11-15,Week,Planning
47,2026-11-16,2026-11-22,Week,Planning
48,2026-11-23,2026-11-29,Week,Planning
