Assembly,Sub_Part,Units_Per,Unit,Rejection_Pct
EV-CITY-2W,SA-FRAME-C,1.0,NOS,0.5
EV-CITY-2W,SA-BATT-48,1.0,NOS,0.3
EV-CITY-2W,SA-MOTOR-2K,1.0,NOS,0.4
EV-CITY-2W,SA-HARNESS,1.0,NOS,0.6
EV-CITY-2W,SA-CONTROL,1.0,NOS,0.5
EV-CITY-2W,PK-CARTON-2W,1.0,NOS,0.8
EV-CITY-2W,CONS-FASTENER,1.0,SET,1.5
EV-PRO-2W,SA-FRAME-P,1.0,NOS,0.5
EV-PRO-2W,SA-BATT-60,1.0,NOS,0.3
EV-PRO-2W,SA-MOTOR-3K,1.0,NOS,0.4
EV-PRO-2W,SA-HARNESS,1.0,NOS,0.6
EV-PRO-2W,SA-CONTROL,1.0,NOS,0.5
EV-PRO-2W,PK-CARTON-2W,1.0,NOS,0.8
EV-PRO-2W,CONS-FASTENER,1.0,SET,1.5
EV-CARGO-3W,SA-FRAME-G,1.0,NOS,0.6
EV-CARGO-3W,SA-BATT-60,2.0,NOS,0.3
EV-CARGO-3W,SA-MOTOR-3K,1.0,NOS,0.4
EV-CARGO-3W,SA-HARNESS,1.0,NOS,0.6
EV-CARGO-3W,SA-CONTROL,1.0,NOS,0.5
EV-CARGO-3W,PK-CARTON-3W,1.0,NOS,0.8
EV-CARGO-3W,CONS-FASTENER,2.0,SET,1.5
SP-BATT-KIT,SA-BATT-48,1.0,NOS,0.2
SP-BATT-KIT,PK-BOX-BATT,1.0,NOS,0.5
SA-FRAME-C,TUBE-STEEL,11.5,KG,3.0
SA-FRAME-C,SHEET-STEEL,4.2,KG,4.0
SA-FRAME-C,RM-PAINT,0.35,KG,6.0
SA-FRAME-C,CONS-WELDROD,0.22,KG,2.0
SA-FRAME-P,TUBE-STEEL,12.8,KG,3.0
SA-FRAME-P,SHEET-STEEL,4.6,KG,4.0
SA-FRAME-P,RM-PAINT,0.38,KG,6.0
SA-FRAME-P,CONS-WELDROD,0.25,KG,2.0
SA-FRAME-G,TUBE-STEEL,24.0,KG,3.0
SA-FRAME-G,SHEET-STEEL,9.5,KG,4.0
SA-FRAME-G,RM-PAINT,0.62,KG,6.0
SA-FRAME-G,CONS-WELDROD,0.45,KG,2.0
SA-BATT-48,CELL-21700,48.0,NOS,1.2
SA-BATT-48,BMS-BOARD,1.0,NOS,0.8
SA-BATT-48,CASE-ALU,1.0,NOS,0.5
SA-BATT-48,WIRE-CU,0.6,KG,2.5
SA-BATT-60,CELL-21700,60.0,NOS,1.2
SA-BATT-60,BMS-BOARD,1.0,NOS,0.8
SA-BATT-60,CASE-ALU,1.0,NOS,0.5
SA-BATT-60,WIRE-CU,0.8,KG,2.5
SA-MOTOR-2K,STATOR-LAM,1.0,NOS,0.7
SA-MOTOR-2K,MAGNET-NDFEB,12.0,NOS,1.0
SA-MOTOR-2K,WIRE-CU,1.2,KG,2.5
SA-MOTOR-2K,BEARING-SET,1.0,SET,0.4
SA-MOTOR-3K,STATOR-LAM,1.0,NOS,0.7
SA-MOTOR-3K,MAGNET-NDFEB,16.0,NOS,1.0
SA-MOTOR-3K,WIRE-CU,1.6,KG,2.5
SA-MOTOR-3K,BEARING-SET,1.0,SET,0.4
SA-CONTROL,PCB-CTRL,1.0,NOS,0.9
SA-CONTROL,CONN-SET,1.0,SET,0.6
SA-CONTROL,CASE-PLASTIC,1.0,NOS,0.7
SA-HARNESS,WIRE-LOOM,3.2,MTR,3.5
SA-HARNESS,CONN-SET,2.0,SET,0.6
SA-HARNESS,CONS-TAPE,0.2,ROL,2.0
PCB-CTRL,IC-MCU,1.0,NOS,1.1
PCB-CTRL,PCB-BLANK,1.0,NOS,1.4
PCB-CTRL,RM-SOLDER,0.018,KG,5.0
