Part_Code,Fiscal_Week,Build_Plan
EV-CITY-2W,237,
EV-CITY-2W,238,
EV-CITY-2W,239,
EV-CITY-2W,240,
EV-CITY-2W,241,
EV-CITY-2W,242,
EV-CITY-2W,243,
EV-CITY-2W,244,
EV-CITY-2W,245,
EV-CITY-2W,246,
EV-CITY-2W,247,
EV-CITY-2W,248,
EV-PRO-2W,237,
EV-PRO-2W,238,
EV-PRO-2W,239,
EV-PRO-2W,240,
EV-PRO-2W,241,
EV-PRO-2W,242,
EV-PRO-2W,243,
EV-PRO-2W,244,
EV-PRO-2W,245,
EV-PRO-2W,246,
EV-PRO-2W,247,
EV-PRO-2W,248,
EV-CARGO-3W,237,
EV-CARGO-3W,238,
EV-CARGO-3W,239,
EV-CARGO-3W,240,
EV-CARGO-3W,241,
EV-CARGO-3W,242,
EV-CARGO-3W,243,
EV-CARGO-3W,244,
EV-CARGO-3W,245,
EV-CARGO-3W,246,
EV-CARGO-3W,247,
EV-CARGO-3W,248,
SP-BATT-KIT,237,
SP-BATT-KIT,238,
SP-BATT-KIT,239,
SP-BATT-KIT,240,
SP-BATT-KIT,241,
SP-BATT-KIT,242,
SP-BATT-KIT,243,
SP-BATT-KIT,244,
SP-BATT-KIT,245,
SP-BATT-KIT,246,
SP-BATT-KIT,247,
SP-BATT-KIT,248,
