Part_Code,Fiscal_Week,Week_Commencing,Dispatched_Units
EV-CITY-2W,201,2026-01-05,880
EV-PRO-2W,201,2026-01-05,320
EV-CARGO-3W,201,2026-01-05,0
SP-BATT-KIT,201,2026-01-05,209
EV-CITY-2W,202,2026-01-12,829
EV-PRO-2W,202,2026-01-12,365
EV-CARGO-3W,202,2026-01-12,0
SP-BATT-KIT,202,2026-01-12,227
EV-CITY-2W,203,2026-01-19,921
EV-PRO-2W,203,2026-01-19,422
EV-CARGO-3W,203,2026-01-19,96
SP-BATT-KIT,203,2026-01-19,249
EV-CITY-2W,204,2026-01-26,821
EV-PRO-2W,204,2026-01-26,427
EV-CARGO-3W,204,2026-01-26,0
SP-BATT-KIT,204,2026-01-26,191
EV-CITY-2W,205,2026-02-02,891
EV-PRO-2W,205,2026-02-02,416
EV-CARGO-3W,205,2026-02-02,142
SP-BATT-KIT,205,2026-02-02,241
EV-CITY-2W,206,2026-02-09,880
EV-PRO-2W,206,2026-02-09,458
EV-CARGO-3W,206,2026-02-09,71
SP-BATT-KIT,206,2026-02-09,228
EV-CITY-2W,207,2026-02-16,870
EV-PRO-2W,207,2026-02-16,485
EV-CARGO-3W,207,2026-02-16,134
SP-BATT-KIT,207,2026-02-16,291
EV-CITY-2W,208,2026-02-23,917
EV-PRO-2W,208,2026-02-23,437
EV-CARGO-3W,208,2026-02-23,84
SP-BATT-KIT,208,2026-02-23,254
EV-CITY-2W,209,2026-03-02,840
EV-PRO-2W,209,2026-03-02,451
EV-CARGO-3W,209,2026-03-02,108
SP-BATT-KIT,209,2026-03-02,342
EV-CITY-2W,210,2026-03-09,866
EV-PRO-2W,210,2026-03-09,424
EV-CARGO-3W,210,2026-03-09,127
SP-BATT-KIT,210,2026-03-09,281
EV-CITY-2W,211,2026-03-16,981
EV-PRO-2W,211,2026-03-16,486
EV-CARGO-3W,211,2026-03-16,0
SP-BATT-KIT,211,2026-03-16,259
EV-CITY-2W,212,2026-03-23,956
EV-PRO-2W,212,2026-03-23,429
EV-CARGO-3W,212,2026-03-23,127
SP-BATT-KIT,212,2026-03-23,291
EV-CITY-2W,213,2026-03-30,878
EV-PRO-2W,213,2026-03-30,487
EV-CARGO-3W,213,2026-03-30,51
SP-BATT-KIT,213,2026-03-30,229
EV-CITY-2W,214,2026-04-06,1034
EV-PRO-2W,214,2026-04-06,589
EV-CARGO-3W,214,2026-04-06,0
SP-BATT-KIT,214,2026-04-06,233
EV-CITY-2W,215,2026-04-13,1055
EV-PRO-2W,215,2026-04-13,600
EV-CARGO-3W,215,2026-04-13,0
SP-BATT-KIT,215,2026-04-13,266
EV-CITY-2W,216,2026-04-20,962
EV-PRO-2W,216,2026-04-20,616
EV-CARGO-3W,216,2026-04-20,116
SP-BATT-KIT,216,2026-04-20,759
EV-CITY-2W,217,2026-04-27,1018
EV-PRO-2W,217,2026-04-27,664
