Fiscal_Week,Week_Commencing,Week_Ending,Bucket
201,2026-01-05,2026-01-11,History
202,2026-01-12,2026-01-18,History
203,2026-01-19,2026-01-25,History
204,2026-01-26,2026-02-01,History
205,2026-02-02,2026-02-08,History
206,2026-02-09,2026-02-15,History
207,2026-02-16,2026-02-22,History
208,2026-02-23,2026-03-01,History
209,2026-03-02,2026-03-08,History
210,2026-03-09,2026-03-15,History
211,2026-03-16,2026-03-22,History
212,2026-03-23,2026-03-29,History
213,2026-03-30,2026-04-05,History
214,2026-04-06,2026-04-12,History
215,2026-04-13,2026-04-19,History
216,2026-04-20,2026-04-26,History
217,2026-04-27,2026-05-03,History
218,2026-05-04,2026-05-10,History
219,2026-05-11,2026-05-17,History
220,2026-05-18,2026-05-24,History
221,2026-05-25,2026-05-31,History
222,2026-06-01,2026-06-07,History
223,2026-06-08,2026-06-14,History
224,2026-06-15,2026-06-21,History
225,2026-06-22,2026-06-28,History
226,2026-06-29,2026-07-05,History
227,2026-07-06,2026-07-12,History
228,2026-07-13,2026-07-19,History
229,2026-07-20,2026-07-26,History
230,2026-07-27,2026-08-02,History
231,2026-08-03,2026-08-09,History
232,2026-08-10,2026-08-16,History
233,2026-08-17,2026-08-23,History
234,2026-08-24,2026-08-30,History
235,2026-08-31,2026-09-06,History
236,2026-09-07,2026-09-13,History
237,2026-09-14,2026-09-20,Plan
238,2026-09-21,2026-09-27,Plan
239,2026-09-28,2026-10-04,Plan
240,2026-10-05,2026-10-11,Plan
241,2026-10-12,2026-10-18,Plan
242,2026-10-19,2026-10-25,Plan
243,2026-10-26,2026-11-01,Plan
244,2026-11-02,2026-11-08,Plan
245,2026-11-09,2026-11-15,Plan
246,2026-11-16,2026-11-22,Plan
247,2026-11-23,2026-11-29,Plan
248,2026-11-30,2026-12-06,Plan
